New_ID,Life satisfaction,Neighborhood satisfaction,Similarity to friends,Years in Somerville,Marital status,Social community events availability,Annual household income,Housing satisfaction,Age,Gender,year,Living with children under 18,Student status
117,8.0,10.0,5.0,25.0,Divorced,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Male,2011,0,0
118,6.0,7.0,5.0,13.0,Single,4.013248542660308,12000.0,7.594181275643416,21.0,Female,2011,1,1
119,10.0,9.0,10.0,25.0,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
120,10.0,10.0,5.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Female,2011,0,0
121,10.0,8.0,7.0,13.0,Married,4.013248542660308,131999.4,7.594181275643416,49.5,Female,2011,1,0
122,9.0,9.0,4.0,25.0,Single,4.013248542660308,35999.4,7.594181275643416,59.5,Female,2011,0,1
123,7.0,7.0,7.0,13.0,Married,4.013248542660308,155999.4,7.594181275643416,39.5,Female,2011,1,1
124,9.0,9.0,6.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Male,2011,1,0
125,8.0,10.0,4.0,5.5,Married,4.013248542660308,107999.4,7.594181275643416,39.5,Male,2011,0,0
126,10.0,10.0,5.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,69.5,Male,2011,0,1
127,10.0,8.0,8.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Female,2011,0,1
128,5.0,6.0,5.0,9.0,Single,4.013248542660308,12000.0,7.594181275643416,29.5,Female,2011,1,0
129,5.0,9.0,6.0,5.5,Married,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Female,2011,0,1
130,8.0,6.0,9.0,18.0,Single,4.013248542660308,35999.4,7.594181275643416,29.5,Female,2011,0,0
131,5.0,5.0,4.0,13.0,Cohabitee,4.013248542660308,12000.0,7.594181275643416,49.5,Female,2011,0,1
132,8.0,9.0,9.0,25.0,Single,4.013248542660308,35999.4,7.594181275643416,59.5,Female,2011,0,0
133,8.0,6.0,6.0,5.5,Married,4.013248542660308,107999.4,7.594181275643416,69.5,Male,2011,0,0
134,9.0,10.0,10.0,25.0,Widowed,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,1
135,9.0,10.0,8.0,25.0,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
136,10.0,10.0,10.0,25.0,,4.013248542660308,100894.45434919304,7.594181275643416,29.5,Female,2011,1,0
137,8.0,9.0,6.687547980961154,5.5,Married,4.013248542660308,35999.4,7.594181275643416,49.5,Female,2011,1,0
138,8.0,10.0,8.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
139,8.0,9.0,5.0,5.5,Married,4.013248542660308,179999.4,7.594181275643416,80.0,Male,2011,0,0
140,8.0,5.0,8.0,9.0,Married,4.013248542660308,83999.4,7.594181275643416,29.5,Female,2011,1,0
141,8.0,8.0,6.687547980961154,25.0,Married,4.013248542660308,35999.4,7.594181275643416,80.0,Male,2011,0,1
142,8.0,10.0,8.0,5.5,Single,4.013248542660308,12000.0,7.594181275643416,59.5,Female,2011,0,0
143,6.0,8.0,5.0,5.5,Single,4.013248542660308,83999.4,7.594181275643416,39.5,Male,2011,0,0
144,3.0,8.0,5.0,13.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Male,2011,1,0
146,8.0,8.0,10.0,25.0,Single,4.013248542660308,12000.0,7.594181275643416,59.5,Female,2011,0,0
147,8.0,10.0,8.0,25.0,Divorced,4.013248542660308,12000.0,7.594181275643416,59.5,Male,2011,0,0
148,1.0,1.0,4.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,0
149,2.0,3.0,5.0,25.0,Divorced,4.013248542660308,59999.399999999994,7.594181275643416,59.5,Male,2011,0,0
150,9.0,7.0,5.0,25.0,Single,4.013248542660308,83999.4,7.594181275643416,49.5,Male,2011,0,1
151,10.0,10.0,10.0,25.0,Married,4.013248542660308,131999.4,7.594181275643416,39.5,Male,2011,0,0
152,9.0,8.0,5.0,25.0,Widowed,4.013248542660308,83999.4,7.594181275643416,49.5,Female,2011,0,1
153,8.0,10.0,6.0,13.0,Single,4.013248542660308,59999.399999999994,7.594181275643416,59.5,Female,2011,0,1
154,9.0,8.0,7.0,25.0,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
